ID,AdmArea,Month,Year,TotalAmount,Suppliers,global_id
Код,Административный округ,Месяц,Год,Общая сумма начисленных средств по округу (рублей),Поставщики,global_id
1,Центральный административный округ,Апрель,2016,1033089057,"Supplier:ОАО «МОЭК»
Amount:3.547077304E8

Supplier:Газпром межрегионгаз Москва
Amount:1.895774299E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:3.262499188E8

Supplier:Ростелеком
Amount:3.124191506E7

Supplier:РСВО
Amount:8403563.2

Supplier:прочие
Amount:1.871844306E8

",171671233
2,Северный административный округ,Апрель,2016,1416996034,"Supplier:ОАО «МОЭК»
Amount:5.497084898E8

Supplier:Газпром межрегионгаз Москва
Amount:2.460456131E7

Supplier:Мосводоканал
Amount:1.547691876E8

Supplier:управляющие компании
Amount:3.787721846E8

Supplier:Ростелеком
Amount:5.361262051E7

Supplier:РСВО
Amount:1.300157911E7

Supplier:прочие
Amount:2.425274112E8

",171671234
3,Северо-Восточный административный округ,Апрель,2016,1593702061,"Supplier:ОАО «МОЭК»
Amount:592987075

Supplier:Газпром межрегионгаз Москва
Amount:1.809459613E7

Supplier:Мосводоканал
Amount:1.723772769E8

Supplier:управляющие компании
Amount:4.671402493E8

Supplier:Ростелеком
Amount:6.235172911E7

Supplier:РСВО
Amount:1.48400033E7

Supplier:прочие
Amount:2.659111313E8

",171671235
4,Восточный административный округ,Апрель,2016,1835590452,"Supplier:ОАО «МОЭК»
Amount:6.716893509E8

Supplier:Мосэнергосбыт
Amount:3.464551803E7

Supplier:Газпром межрегионгаз Москва
Amount:3.566352169E7

Supplier:Мосводоканал
Amount:1.990170507E8

Supplier:управляющие компании
Amount:5

Supplier:Ростелеком
Amount:7.193345278E7

Supplier:РСВО
Amount:1.454018637E7

Supplier:прочие
Amount:3

",171671236
5,Юго-Восточный административный округ,Апрель,2016,1684636395,"Supplier:ОАО «МОЭК»
Amount:5.860797466E8

Supplier:Мосэнергосбыт
Amount:4.447385072E7

Supplier:Газпром межрегионгаз Москва
Amount:2.256742107E7

Supplier:Мосводоканал
Amount:1.700060225E8

Supplier:управляющие компании
Amount:5.130176613E8

Supplier:Ростелеком
Amount:1204866.35

Supplier:РСВО
Amount:1.286510815E7

Supplier:прочие
Amount:3.344217183E8

",171671237
6,Южный административный округ,Апрель,2016,1903867370,"Supplier:ОАО «МОЭК»
Amount:771091139

Supplier:Газпром межрегионгаз Москва
Amount:2.599945191E7

Supplier:Мосводоканал
Amount:2

Supplier:управляющие компании
Amount:4.634313845E8

Supplier:Ростелеком
Amount:7.556761873E7

Supplier:РСВО
Amount:1.689712459E7

Supplier:прочие
Amount:3.472282305E8

",171671238
7,Юго-Западный административный округ,Апрель,2016,1712782380,"Supplier:ОАО «МОЭК»
Amount:660436394

Supplier:Газпром межрегионгаз Москва
Amount:1.72783432E7

Supplier:Мосводоканал
Amount:1.737735455E8

Supplier:управляющие компании
Amount:4.817025272E8

Supplier:Ростелеком
Amount:6.954556266E7

Supplier:РСВО
Amount:1.480601258E7

Supplier:прочие
Amount:2.952399948E8

",171671239
8,Западный административный округ,Апрель,2016,1431693430,"Supplier:ОАО «МОЭК»
Amount:508516373

Supplier:Газпром межрегионгаз Москва
Amount:1.968040694E7

Supplier:Мосводоканал
Amount:149300023

Supplier:управляющие компании
Amount:3.927564603E8

Supplier:Ростелеком
Amount:5.594815436E7

Supplier:РСВО
Amount:1.250743829E7

Supplier:прочие
Amount:2.929845741E8

",171671240
9,Северо-Западный административный округ,Апрель,2016,1035030329,"Supplier:ОАО «МОЭК»
Amount:373265834

Supplier:Газпром межрегионгаз Москва
Amount:1.374479578E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:3.189311024E8

Supplier:Ростелеком
Amount:4

Supplier:РСВО
Amount:9573905.95

Supplier:прочие
Amount:1.705378764E8

",171671241
